city,vegan_restaurant,population_2023,vegan_restaurant_per_capita,lat,long
London,3872,8961989,0.00043204694850663175,51.5085,-0.12574
Birmingham_West_Midlands,394,984333,0.00040027104648528497,52.4814,-1.89983
Manchester_Greater_Manchester,390,395515,0.000986056154633832,53.4809,-2.23743
Edinburgh,589,464990,0.001266693907395858,55.9521,-3.19648
Glasgow,457,591620,0.0007724552922484027,55.8652,-4.25763
Leeds_West_Yorkshire,411,455123,0.0009030525813900857,53.7965,-1.54785
Liverpool_Merseyside,335,864122,0.000387676740089941,53.4106,-2.97794
Bristol,328,617280,0.0005313634007257646,51.4552,-2.59665
Sheffield_South_Yorkshire,296,685368,0.0004318847684747464,53.383,-1.4659
Nottingham_Nottinghamshire,212,321500,0.0006594090202177294,52.9536,-1.15047
Leicester_Leicestershire,211,508916,0.00041460673274174915,52.6386,-1.13169
Newcastle_upon_Tyne_Tyne_and_Wear,235,192382,0.0012215280015801895,54.9733,-1.61396
Cardiff,230,447287,0.0005142112335033212,51.48,-3.18
Brighton_East_Sussex,266,139001,0.0019136552974439033,50.8284,-0.13947
Belfast,197,274770,0.00071696327837828,54.5968,-5.92541
York_North_Yorkshire,202,153717,0.0013141031896276925,53.9576,-1.08271
Southampton_Hampshire,133,246201,0.0005402090162103322,50.9039,-1.40428
Bournemouth_Dorset,159,163600,0.000971882640586797,50.7205,-1.8795
Bradford_West_Yorkshire,86,299310,0.0002873275199625806,53.7939,-1.75206
Norwich_Norfolk_East_Anglia,153,213166,0.0007177504855370931,52.6278,1.29834
